table,drop,owners,depends_on
bigquery-public-data.covid19_aha.hospital_beds,,American Heart Association,
bigquery-public-data.covid19_aha.staffing,,American Heart Association,
bigquery-public-data.covid19_ecdc.covid_19_geographic_distribution_worldwide,,European Centre for Disease Prevention and Control,
bigquery-public-data.covid19_ecdc_eu.covid_19_geographic_distribution_worldwide,x,European Centre for Disease Prevention and Control,
bigquery-public-data.covid19_geotab_mobility_impact.airport_traffic,,Geotab,
bigquery-public-data.covid19_geotab_mobility_impact.city_congestion,,Geotab,
bigquery-public-data.covid19_geotab_mobility_impact.commercial_traffic,,Geotab,bigquery-public-data.covid19_geotab_mobility_impact.commercial_traffic_by_industry
bigquery-public-data.covid19_geotab_mobility_impact.commercial_traffic_by_industry,,Geotab,
bigquery-public-data.covid19_geotab_mobility_impact.fuel_station_daily_fillups,,Geotab,
bigquery-public-data.covid19_geotab_mobility_impact.fuel_station_weekly_fillups,,Geotab,bigquery-public-data.covid19_geotab_mobility_impact.fuel_station_daily_fillups
bigquery-public-data.covid19_geotab_mobility_impact.lookup_region,,Geotab,
bigquery-public-data.covid19_geotab_mobility_impact.port_traffic,,Geotab,
bigquery-public-data.covid19_geotab_mobility_impact.us_border_volumes,,Geotab,
bigquery-public-data.covid19_geotab_mobility_impact.us_border_wait_times,,Geotab,
bigquery-public-data.covid19_geotab_mobility_impact_eu.airport_traffic,x,Geotab,
bigquery-public-data.covid19_geotab_mobility_impact_eu.city_congestion,x,Geotab,
bigquery-public-data.covid19_geotab_mobility_impact_eu.commercial_traffic,x,Geotab,
bigquery-public-data.covid19_geotab_mobility_impact_eu.commercial_traffic_by_industry,x,Geotab,
bigquery-public-data.covid19_geotab_mobility_impact_eu.fuel_station_daily_fillups,x,Geotab,
bigquery-public-data.covid19_geotab_mobility_impact_eu.fuel_station_weekly_fillups,x,Geotab,
bigquery-public-data.covid19_geotab_mobility_impact_eu.lookup_region,x,Geotab,
bigquery-public-data.covid19_geotab_mobility_impact_eu.port_traffic,x,Geotab,
bigquery-public-data.covid19_geotab_mobility_impact_eu.us_border_volumes,x,Geotab,
bigquery-public-data.covid19_geotab_mobility_impact_eu.us_border_wait_times,x,Geotab,
bigquery-public-data.covid19_google_mobility.mobility_report,,Google,
bigquery-public-data.covid19_google_mobility_eu.mobility_report,x,Google,
bigquery-public-data.covid19_govt_response.oxford_policy_tracker,,Oxford,
bigquery-public-data.covid19_italy.data_by_province,,Italian National Institute of Health,
bigquery-public-data.covid19_italy.data_by_region,,Italian National Institute of Health,bigquery-public-data.covid19_italy.data_by_province
bigquery-public-data.covid19_italy.national_trends,,Italian National Institute of Health,bigquery-public-data.covid19_italy.data_by_region
bigquery-public-data.covid19_italy_eu.data_by_province,x,,
bigquery-public-data.covid19_italy_eu.data_by_region,x,,
bigquery-public-data.covid19_italy_eu.national_trends,x,,
bigquery-public-data.covid19_jhu_csse.confirmed_cases,x,,
bigquery-public-data.covid19_jhu_csse.deaths,x,,
bigquery-public-data.covid19_jhu_csse.recovered_cases,x,,
bigquery-public-data.covid19_jhu_csse.summary,x,,
bigquery-public-data.covid19_jhu_csse_eu.confirmed_cases,x,,
bigquery-public-data.covid19_jhu_csse_eu.deaths,x,,
bigquery-public-data.covid19_jhu_csse_eu.recovered_cases,x,,
bigquery-public-data.covid19_jhu_csse_eu.summary,x,,
bigquery-public-data.covid19_nyt.excess_deaths,,New York Times,
bigquery-public-data.covid19_nyt.mask_use_by_county,,New York Times,
bigquery-public-data.covid19_nyt.us_counties,,New York Times,
bigquery-public-data.covid19_nyt.us_states,,New York Times,bigquery-public-data.covid19_nyt.us_counties
bigquery-public-data.covid19_open_data.covid19_open_data,,Google,
bigquery-public-data.covid19_open_data_eu.covid19_open_data,x,,
bigquery-public-data.covid19_public_forecasts.county_14d,,"Harvard Global Health Institute, Google",
bigquery-public-data.covid19_public_forecasts.county_14d_historical,,"Harvard Global Health Institute, Google",bigquery-public-data.covid19_public_forecasts.county_14d
bigquery-public-data.covid19_public_forecasts.county_14d_historical_,x,"Harvard Global Health Institute, Google",
bigquery-public-data.covid19_public_forecasts.county_28d,,"Harvard Global Health Institute, Google",bigquery-public-data.covid19_public_forecasts.county_14d
bigquery-public-data.covid19_public_forecasts.county_28d_historical,,"Harvard Global Health Institute, Google",bigquery-public-data.covid19_public_forecasts.county_28d
